model,dataset,method,layer,auroc,auroc_std,accuracy,f1,auprc
llama3.1-8b,fever,probe_linear,0,0.5,0.0,0.5041666666666667,0.4517906336088154,0.5125
llama3.1-8b,fever,probe_linear,1,0.6510318949343339,0.0672423643985264,0.5333333333333333,0.6466352864169723,0.6800831812275675
llama3.1-8b,fever,probe_linear,2,0.7383781530122994,0.07333595007460214,0.6916666666666668,0.701370781537218,0.7777533629490122
llama3.1-8b,fever,probe_linear,3,0.7569314154680008,0.06544097812572368,0.6708333333333334,0.63327721661055,0.7706590290222546
llama3.1-8b,fever,probe_linear,4,0.7894517406712529,0.05932172956642065,0.6833333333333335,0.7190886408277711,0.7961709422908267
llama3.1-8b,fever,probe_linear,5,0.7969564311027725,0.04395073721556813,0.7374999999999999,0.7481481481481481,0.7863543142324364
llama3.1-8b,fever,probe_linear,6,0.8159266208046696,0.044753212201605004,0.7375000000000002,0.7485049112094497,0.8220830488116517
llama3.1-8b,fever,probe_linear,7,0.8286429018136335,0.04766392074621692,0.6708333333333334,0.7187269110542768,0.8216855101012435
llama3.1-8b,fever,probe_linear,8,0.8278090473212424,0.04816547387667988,0.6625,0.7068208479973186,0.8338475927084784
llama3.1-8b,fever,probe_linear,9,0.8845111528038357,0.02845051163371127,0.7583333333333333,0.7670988187842122,0.8915964119271046
llama3.1-8b,fever,probe_linear,10,0.9132791327913279,0.014598408505325533,0.8166666666666665,0.8254580690627202,0.9134888379815388
llama3.1-8b,fever,probe_linear,11,0.9355847404627893,0.010868134582228151,0.8333333333333334,0.8425520262869662,0.9334541008384433
llama3.1-8b,fever,probe_linear,12,0.9441317490097978,0.003763908710708302,0.8666666666666666,0.8709688843557651,0.9414409577598123
llama3.1-8b,fever,probe_linear,13,0.9472587033562644,0.00892263271170843,0.875,0.8827212410055135,0.9438554363802392
llama3.1-8b,fever,probe_linear,14,0.9466333124869711,0.013021886751504208,0.8583333333333334,0.865035547800724,0.938526637951787
llama3.1-8b,fever,probe_linear,15,0.9514279758182198,0.010468942697093793,0.8791666666666668,0.8794684385382059,0.949662807252723
llama3.1-8b,fever,probe_linear,16,0.9514279758182198,0.008301983636330973,0.8625000000000002,0.8499872676343264,0.9460084123574907
llama3.1-8b,fever,probe_linear,17,0.9547633937877841,0.009652563604578036,0.8583333333333334,0.8473214986759174,0.9531136756164007
llama3.1-8b,fever,probe_linear,18,0.9526787575568063,0.0069702953918284564,0.8708333333333332,0.874988043998087,0.9523708767465561
llama3.1-8b,fever,probe_linear,19,0.9476756306024599,0.008301983636330973,0.875,0.879548051522772,0.9467233294489413
llama3.1-8b,fever,probe_linear,20,0.9487179487179488,0.006020233094931737,0.8708333333333335,0.8783039133277294,0.9474008920847035
llama3.1-8b,fever,probe_linear,21,0.9451740671252867,0.007387969625461466,0.8583333333333333,0.8624274521612318,0.9435307479760663
llama3.1-8b,fever,probe_linear,22,0.9464248488638732,0.0060919904924754895,0.8583333333333333,0.8596483382710068,0.9455878573086002
llama3.1-8b,fever,probe_linear,23,0.9416301855326245,0.006857154139419821,0.8583333333333333,0.8596483382710068,0.9411062142919034
llama3.1-8b,fever,probe_linear,24,0.9393370856785491,0.007556626625137345,0.8583333333333334,0.8592795257637938,0.9390532147762324
llama3.1-8b,fever,probe_linear,25,0.9410047946633312,0.00794899977691793,0.8333333333333334,0.8330902813661435,0.9427565172744683
