model,dataset,method,layer,auroc,auroc_std,accuracy,f1,auprc
llama3.1-8b,fever,INSIDE,-1,0.5181238273921202,,0.5375,0.5747126436781609,0.4929638138005084
llama3.1-8b,fever,attention_entropy,16,0.6862789243277049,,0.6825,0.6539509536784741,0.6064247954318518
llama3.1-8b,fever,probe_linear,17,0.9547633937877841,0.009652563604578036,0.8583333333333334,0.8473214986759174,0.9531136756164007
llama3.1-8b,fever,probe_mlp,17,0.9533041484260997,0.002570112154667022,0.8625000000000002,0.869983948635634,0.9516402056322223
llama3.1-8b,fever,self_consistency_exact,-1,0.5,,0.5125,0.6776859504132231,0.4875
llama3.1-8b,fever,self_consistency_semantic,-1,0.46756722951844903,,0.51,0.5811965811965812,0.4727223464073633
llama3.1-8b,halueval_qa,INSIDE,-1,0.5289382234555864,,0.5525,0.5885057471264368,0.531749181629753
llama3.1-8b,halueval_qa,attention_entropy,0,0.9409235230880771,,0.8625,0.8578811369509044,0.940450177307613
llama3.1-8b,halueval_qa,probe_linear,15,0.9981249999999999,0.0015309310892394536,0.9791666666666666,0.9796246110609254,0.9981520372790113
llama3.1-8b,halueval_qa,probe_mlp,15,0.9977083333333333,0.0024116326880812967,0.9708333333333333,0.9714945297601124,0.9977328253772413
llama3.1-8b,halueval_qa,self_consistency_exact,-1,0.5022875571889297,,0.5,0.07407407407407407,0.49865840747750295
llama3.1-8b,halueval_qa,self_consistency_semantic,-1,0.48851221280532015,,0.52,0.625,0.5044349244986822
llama3.1-8b,synthetic,INSIDE,-1,0.518475,,0.54,0.3235294117647059,0.512751513170187
llama3.1-8b,synthetic,attention_entropy,31,0.6393000000000001,,0.6375,0.6401985111662531,0.6094269169591543
llama3.1-8b,synthetic,probe_linear,32,1.0,0.0,0.9333333333333332,0.9379277572048657,1.0
llama3.1-8b,synthetic,probe_mlp,28,1.0,0.0,0.9874999999999999,0.9877546923617384,1.0
llama3.1-8b,synthetic,self_consistency_exact,-1,0.5,,0.5,0.6666666666666666,0.5
llama3.1-8b,synthetic,self_consistency_semantic,-1,0.50245,,0.525,0.3790849673202614,0.49828757195810225
llama3.1-8b,truthfulqa,INSIDE,-1,0.4325230092036815,,0.5275,0.6812816188870152,0.48040311370973093
llama3.1-8b,truthfulqa,attention_entropy,31,0.6030662264905962,,0.5975,0.5706666666666667,0.5486325656003246
llama3.1-8b,truthfulqa,probe_linear,13,0.9136960600375236,0.012265741657999232,0.8250000000000001,0.8329833180095606,0.9236899912258488
llama3.1-8b,truthfulqa,probe_mlp,14,0.9136960600375233,0.0039881439378171585,0.8125,0.818498286583393,0.9171800832467868
llama3.1-8b,truthfulqa,self_consistency_exact,-1,0.5,,0.51,0.6754966887417219,0.49
llama3.1-8b,truthfulqa,self_consistency_semantic,-1,0.5107292917166867,,0.5325,0.4904632152588556,0.49206701188149243
mistral-7b,fever,INSIDE,-1,0.5267792370231393,,0.56,0.5532994923857868,0.5097177441907796
mistral-7b,fever,attention_entropy,16,0.5800625390869294,,0.5775,0.6626746506986028,0.5653780805675992
mistral-7b,fever,probe_linear,14,0.9597665207421304,0.001559998910474814,0.9,0.9037659508247744,0.9576746533081945
mistral-7b,fever,probe_mlp,15,0.959349593495935,0.010326842673755122,0.9,0.9040410853866225,0.9508198737163237
mistral-7b,fever,self_consistency_exact,-1,0.5,,0.5125,0.6776859504132231,0.4875
mistral-7b,fever,self_consistency_semantic,-1,0.4246904315196998,,0.5025,0.16736401673640167,0.44209297155160104
mistral-7b,halueval_qa,INSIDE,-1,0.43853596339908496,,0.5025,0.667779632721202,0.44910822171453896
mistral-7b,halueval_qa,attention_entropy,0,0.9022975574389359,,0.85,0.8404255319148937,0.8808857978226828
mistral-7b,halueval_qa,probe_linear,18,0.9983333333333334,0.0010622957319984742,0.9666666666666667,0.9674796747967479,0.9984192535107169
mistral-7b,halueval_qa,probe_mlp,18,0.998125,0.0013501543121682755,0.9708333333333333,0.9714945297601124,0.9982055782970417
mistral-7b,halueval_qa,self_consistency_exact,-1,0.4665241631040776,,0.5,0.009900990099009901,0.4803251308605532
mistral-7b,halueval_qa,self_consistency_semantic,-1,0.46461161529038225,,0.505,0.12389380530973451,0.4702313166457908
mistral-7b,synthetic,INSIDE,-1,0.5284875,,0.54,0.5233160621761658,0.5323502270111408
mistral-7b,synthetic,attention_entropy,16,0.7736999999999999,,0.735,0.7253886010362695,0.7688172074467494
mistral-7b,synthetic,probe_linear,18,0.9983333333333334,0.0019320038532283023,0.9125,0.9215717344579742,0.9983758750943127
mistral-7b,synthetic,probe_mlp,20,0.9987499999999999,0.0017677669529663313,0.975,0.9743260590500641,0.9987901664730933
mistral-7b,synthetic,self_consistency_exact,-1,0.5,,0.5,0.6666666666666666,0.5
mistral-7b,synthetic,self_consistency_semantic,-1,0.5024500000000001,,0.5275,0.4037854889589905,0.5004256997643902
mistral-7b,truthfulqa,INSIDE,-1,0.5253601440576231,,0.5575,0.6452905811623246,0.5327587635275288
mistral-7b,truthfulqa,attention_entropy,31,0.581032412965186,,0.59,0.5314285714285715,0.5232123007273991
mistral-7b,truthfulqa,probe_linear,16,0.9038982697519282,0.011490109468018095,0.8000000000000002,0.8065140415140415,0.9203517826483026
mistral-7b,truthfulqa,probe_mlp,16,0.9080675422138839,0.015854203328606688,0.8208333333333333,0.8291806958473625,0.9208352692666092
mistral-7b,truthfulqa,self_consistency_exact,-1,0.5021383553421369,,0.4975,0.03827751196172249,0.4910581766176017
mistral-7b,truthfulqa,self_consistency_semantic,-1,0.541141456582633,,0.5525,0.6469428007889546,0.5327449888611359
qwen2.5-7b,fever,INSIDE,-1,0.4969606003752346,,0.52,0.3191489361702128,0.47878563318308126
qwen2.5-7b,fever,attention_entropy,27,0.6089305816135083,,0.6125,0.49838187702265374,0.5403344689451947
qwen2.5-7b,fever,probe_linear,20,0.9205753595997498,0.008529194307058084,0.8208333333333334,0.8106533499791927,0.9178571750572084
qwen2.5-7b,fever,probe_mlp,21,0.9270377319157808,0.009139174574435239,0.8541666666666666,0.86363462786879,0.9228582982338781
qwen2.5-7b,fever,self_consistency_exact,-1,0.5024390243902439,,0.49,0.009708737864077669,0.48872180451127817
qwen2.5-7b,fever,self_consistency_semantic,-1,0.4656660412757974,,0.5275,0.676923076923077,0.4848694883293519
qwen2.5-7b,halueval_qa,INSIDE,-1,0.4908872721818045,,0.515,0.3782051282051282,0.49525306558065596
qwen2.5-7b,halueval_qa,attention_entropy,0,0.8661466536663417,,0.8025,0.8058968058968059,0.8418649242133277
qwen2.5-7b,halueval_qa,probe_linear,19,0.9968749999999998,0.002551551815399135,0.9708333333333333,0.9711909063535079,0.9968681833155517
qwen2.5-7b,halueval_qa,probe_mlp,25,0.9974999999999999,0.0008838834764831132,0.9666666666666667,0.9674796747967479,0.9976055008676958
qwen2.5-7b,halueval_qa,self_consistency_exact,-1,0.5050626265656641,,0.505,0.038834951456310676,0.5000573120352564
qwen2.5-7b,halueval_qa,self_consistency_semantic,-1,0.5216630415760394,,0.54,0.6654545454545454,0.5359956593261661
qwen2.5-7b,synthetic,INSIDE,-1,0.48882499999999995,,0.5175,0.4987012987012987,0.5006658889984337
qwen2.5-7b,synthetic,attention_entropy,27,0.6828,,0.6625,0.5360824742268041,0.6109599199345147
qwen2.5-7b,synthetic,probe_linear,17,1.0,0.0,0.9625,0.9642287377542121,1.0
qwen2.5-7b,synthetic,probe_mlp,18,1.0,0.0,0.9916666666666667,0.9917695473251028,1.0
qwen2.5-7b,synthetic,self_consistency_exact,-1,0.5,,0.5,0.6666666666666666,0.5
qwen2.5-7b,synthetic,self_consistency_semantic,-1,0.5018,,0.5225,0.5649202733485194,0.5152851193300017
qwen2.5-7b,truthfulqa,INSIDE,-1,0.5059273709483794,,0.54,0.6213991769547325,0.5144231135350841
qwen2.5-7b,truthfulqa,attention_entropy,14,0.4885704281712685,,0.5175,0.4987012987012987,0.47673953258063473
qwen2.5-7b,truthfulqa,probe_linear,19,0.9145299145299145,0.019752409564102007,0.8083333333333332,0.8192752355970078,0.9310709666551146
qwen2.5-7b,truthfulqa,probe_mlp,19,0.924953095684803,0.0240646852628116,0.8333333333333334,0.841674034777483,0.9350403230937
qwen2.5-7b,truthfulqa,self_consistency_exact,-1,0.5020758303321329,,0.4975,0.03827751196172249,0.491012748197991
qwen2.5-7b,truthfulqa,self_consistency_semantic,-1,0.47806622649059627,,0.515,0.6056910569105691,0.470166320793935
